W,H,S,E,Z,
3.7407486,1.2536349,9.3817466,3.9455353,173.1825333,
3.5054733,7.5344737,2.4707867,3.5103459,93.5415894,
3.2696078,4.5228727,6.8059413,7.5220576,104.7417689,
2.5139176,4.4395063,9.9446820,6.3596300,137.1900731,
9.6214023,4.2030330,3.7591067,6.1006013,70.5394945,
1.5277131,1.3193258,4.1698563,2.3748289,178.6458482,
4.5133766,6.1857292,8.2754313,4.1075570,126.0438878,
3.5661473,5.1135058,3.9323110,5.4540711,93.8117820,
3.9591500,9.7607193,0.5570045,9.7555655,36.4508282,
9.6175735,3.2014170,4.6117305,9.8514140,67.2316005,
3.1693912,7.7827948,5.4187125,4.5550551,112.6760724,
0.1248981,0.1583594,1.4182704,6.0360282,218.7960052,
5.2647066,5.5461652,0.7088688,5.8383927,45.9714093,
8.0366191,5.3640836,9.6132293,7.2075168,96.8593868,
1.7494490,9.5069887,3.2530831,9.7412629,81.1921551,
8.8372426,3.6270005,2.9994086,9.9347278,55.6952419,
5.7657396,2.8143262,0.8148566,1.3126799,79.4131398,
7.8550303,7.3973595,9.3716641,9.2661566,82.1644545,
3.6972925,4.4800677,3.6664382,5.7913961,89.5801363,
9.3751317,7.0606539,7.5032442,4.9058439,93.2675176,
6.5689254,9.7468119,0.7460752,6.8674693,40.4226481,
8.4920190,4.2430734,7.0583924,3.8760333,108.3860509,
7.1400038,6.0852902,1.4349674,1.3834271,86.2807018,
0.3296713,2.3926788,4.4871260,4.5942228,193.0962902,
9.6298102,7.0815578,5.2382502,1.4416816,117.9117293,
6.4252472,8.9959608,6.5716944,2.1547459,127.4765587,
4.9671170,9.0388797,7.3386884,2.8217001,130.3286908,
3.6422104,5.6403785,1.8713914,4.9058252,74.6387008,
4.9204422,9.0989659,8.5701726,9.0062647,87.4347414,
1.5161127,8.7616671,8.8960392,7.5769188,126.5142952,
5.3395727,7.7056262,4.5502699,9.0866386,68.9559590,
6.2705174,7.0926029,3.7746531,6.2562544,72.8617454,
9.1111865,0.6341036,2.4746887,1.9548962,97.4043782,
3.7940252,9.5357265,5.2105993,1.8014405,145.4684326,
7.0268689,9.0813835,5.9207203,1.9834274,122.9076531,
3.7500091,5.9606867,1.3694508,1.6641698,97.8997328,
0.3285865,1.0044600,2.1178881,3.8507894,180.2182601,
8.0794504,8.1311579,5.1115231,6.9105507,72.0071891,
4.4201562,2.4203306,4.4107535,4.0759899,113.1508980,
6.1180524,2.3778484,1.3548268,6.0453742,58.2333322,
6.6231355,4.1058488,1.2122972,1.7777337,78.9278552,
8.5632910,3.1403494,1.8358438,8.7904019,50.1130865,
9.1201604,4.0348714,4.4551097,9.5394301,64.7001727,
1.1311756,9.6974779,5.1258953,8.4989322,109.9978344,
1.9236443,3.5182033,9.3842741,9.6363286,125.4132426,
4.4207051,0.6700881,3.8497280,3.9243158,128.0559000,
4.5023257,8.9649207,3.4264486,8.2341109,67.7463711,
9.8444894,6.4460725,8.2317850,1.5741253,134.0498569,
7.5897741,4.2033800,3.0575537,2.3214569,95.3989931,
4.1439900,6.0210024,1.1265390,9.8793985,44.8542724,
6.8717352,6.3500000,2.0000000,4.2886875,66.8083794,
6.5176096,9.9892152,1.7759469,1.9447519,85.0651539,
5.4356772,8.3264907,4.2141155,2.5955686,108.9325057,
5.7654242,2.1481434,5.5759032,6.4475102,103.1745522,
8.5916835,7.1203351,1.8500964,8.3646493,46.2903234,
4.3620970,2.2136563,3.6171337,7.5731652,85.9860590,
1.5800713,6.3500000,2.0000000,5.1670349,95.5292961,
1.9423861,4.1743799,0.8490917,3.1350320,83.3670796,
8.3495240,6.5011460,9.8130675,5.4099752,104.0877699,
6.4102763,8.6755029,9.6390894,8.6327528,87.6337219,
0.7055764,1.7375493,3.7271454,7.6616944,134.2324982,
4.6576966,1.0993520,4.6391141,5.4724154,118.7785901,
6.9421150,5.3576304,6.7439229,8.0716679,82.8142174,
8.0802680,1.0244274,7.2618064,3.4770258,134.2392986,
3.0033654,2.1296850,1.1669523,8.5941715,57.1078998,
3.5813191,6.8038236,6.6008181,8.6704664,90.4350115,
6.2108264,2.9682050,6.7160650,3.1709993,127.5110110,
9.7634343,9.6749778,4.8916717,2.8672875,92.6868687,
6.6516754,6.3500000,2.0000000,8.0782333,51.9577532,
9.6238154,6.4782376,5.3883210,5.0669679,81.5673917,
8.3267814,3.4502614,0.5149755,5.8076249,39.3833388,
1.1226176,0.7380654,9.7355104,5.2955483,274.5943906,
2.2546228,5.3436795,2.3287254,7.1054659,79.4276530,
7.6483999,7.0591647,2.5205887,8.6588466,52.1814140,
9.4540179,2.8600626,1.1502078,5.7262582,50.0953770,
8.0549755,2.2296679,5.7745361,9.6564571,84.1186020,
5.1565974,8.5083649,3.1068009,6.5126346,69.8635896,
0.6241163,5.7449597,4.4864033,4.8339160,157.3820854,
2.0711160,5.0503518,3.9245693,7.5942740,94.4528146,
9.8419504,4.8937518,9.9002208,5.9730993,101.9048180,
9.9832058,0.1864162,2.3103643,4.9746599,97.4221948,
8.6269012,4.8041393,5.6784692,8.3841890,73.7494084,
3.4425160,3.4690040,9.9806262,7.4821758,126.8760462,
4.1109489,7.6607156,7.8870532,5.6851446,109.5871949,
0.7461202,0.7635312,6.9020871,6.7189471,206.3149232,
8.5847160,6.3500000,2.0000000,2.1065332,80.4793322,
9.2443182,4.8174431,4.5157155,2.0606319,105.8006997,
1.4819176,9.1987366,1.8476993,4.5074767,100.0140407,
1.7342060,2.0821837,8.5914800,3.3664972,193.4625016,
3.8667534,1.1000262,5.0214132,3.5643373,141.4092984,
5.6170953,2.8687720,2.2182021,8.5158190,60.5832286,
7.4452692,0.3082675,2.1528583,4.3439807,94.1084502,
8.9792023,0.6208855,8.1714419,2.1385263,150.0624397,
2.6847766,5.1114852,5.9284030,5.1422183,119.4943252,
3.3699819,1.5836180,1.1742818,5.0859452,71.3910735,
0.0540172,4.4633217,3.6210110,3.0865006,279.6393127,
8.8680153,4.2588199,6.7259867,6.5192366,88.4767189,
0.3320322,6.3500000,2.0000000,5.3290604,142.6519448,
4.7050284,2.0004871,0.3873453,1.9626171,61.7256265,
0.9285908,7.9859668,6.1949835,2.9566851,187.0197865,
8.9255777,8.1264489,9.4457939,8.3030472,82.4176364,
4.5724080,8.3314169,7.4178207,9.6533959,82.8175740,
1.0300203,1.4176245,6.9965781,5.7453218,181.9755117,
0.8502422,5.9816233,0.8565066,3.0396355,109.0680769,
1.5157280,6.3500000,2.0000000,7.9474576,80.4064828,
2.6893556,2.2048398,0.2544692,1.5806437,66.8864298,
7.1376338,2.0081196,3.0961845,6.0699485,79.3533975,
2.7613404,7.3411436,4.5113962,1.0385371,177.7303351,
8.3808654,0.9710302,6.7485220,7.0204930,115.1364779,
2.7732432,5.5737804,9.9990426,4.8426895,144.1521413,
0.8074363,0.6151772,5.0477522,1.8396250,240.9608587,
7.1785711,9.2029258,4.8077672,8.1674699,66.9183049,
6.2468744,7.2359357,3.7547454,5.9412720,74.2374779,
8.0393682,6.8786362,3.3931563,2.4161059,93.2081726,
4.8132549,6.3500000,2.0000000,5.4071898,67.2784924,
2.1094243,8.9770019,2.8772953,1.8903755,141.9530939,
5.4439897,0.7304701,8.9760728,5.5971809,179.8118848,
0.9236230,8.3322446,4.5880739,8.8331241,110.6295076,
3.6289327,3.5013439,9.8485699,8.5133165,118.7245465,
9.7556484,4.6849738,5.7074921,5.6490859,83.7995188,
9.3340442,4.0425471,8.4522304,3.6995075,115.7870560,
1.5488541,3.8256603,7.2989628,4.9415124,152.8000142,
6.3409376,5.8463477,0.5334757,9.0748335,33.4628649,
8.3142849,3.3773110,9.9175036,7.6524069,104.7992793,
4.5796338,3.0382161,0.7520633,8.4294597,43.0636841,
5.7999318,6.3500000,2.0000000,9.0738538,51.2208345,
9.6500416,3.0618402,5.7116048,9.4161898,75.6822030,
6.2104780,5.9801595,6.3972251,8.3772964,80.5187077,
1.9181373,2.4200813,4.6417905,9.3514984,103.2899587,
4.3704339,3.9476958,0.3767715,7.1259226,37.4626951,
2.4436388,4.5040540,5.7144972,5.0048607,123.6173990,
8.0363782,7.8934637,5.7977780,7.0402160,75.2450333,
